Harry Potter and the Philosopher's Stone ; J. K. Rowling 
Harry Potter and the Chamber of Secrets  ; J. K. Rowling
Harry Potter and the Prisoner of Azkaban  ; J. K. Rowling
Harry Potter and the Goblet of Fire  ; J. K. Rowling
Harry Potter and the Order of the Phoenix ;  J. K. Rowling
Harry Potter and the Half-Blood Prince  ; J. K. Rowling
Harry Potter and the Deathly Hallows  ; J. K. Rowling
The Fellowship of the Ring ;	J. R. R. Tolkien
The Two Towers ;	J. R. R. Tolkien
The Return of the King ;	J. R. R. Tolkien
Digital Fortress ; Daniel Gerhard Brown
Deception Point ; Daniel Gerhard Brown
Angels & Demons ; Daniel Gerhard Brown
The Da Vinci Code ; Daniel Gerhard Brown
The Lost Symbol ; Daniel Gerhard Brown
Inferno ; Daniel Gerhard Brown
Don Quixote ; Miguel de Cervantes
A Tale of Two Cities ;Charles Dickens
Alice in Wonderland	; Lewis Carroll
The Tale of Peter Rabbit ;	Beatrix Potter
The Odyssey ;	Homer
